time,x_t,phi_shaft,q_b0_m0,q_b0_m1,q_b0_m2,q_b1_m0,q_b1_m1,q_b1_m2,q_b2_m0,q_b2_m1,q_b2_m2
175.1,0.9002977353647441,144.1129986571663,10.001058167215268,-0.20746267031409824,0.15479623225723774,10.012067906808277,0.8203014277004301,0.35439783633742056,7.64206008691382,-0.4963327140660345,0.10850363871680636
175.15,0.8987672283178619,144.1600368568516,10.079148128033934,-0.14888678620845353,0.13837448548291453,9.941742229132743,0.8040816563719416,0.3539193822942041,7.7196678946806845,-0.5161979589970206,0.110519952138033
175.2,0.8976610185415437,144.20710589640942,10.158842142245211,-0.08869844261953312,0.1291840951933481,9.857895571508031,0.7778278093693805,0.35982003790339007,7.799232528102359,-0.5289185733943682,0.12170438895124944
175.25,0.8969888878996237,144.25422522570048,10.236771975584098,-0.03314293959855134,0.1301055437536827,9.75986321494269,0.7403448598103827,0.36889641793272954,7.8828317772919485,-0.5376144313512797,0.13815308334571086
175.3,0.8967326175864657,144.3014037263146,10.308440024225133,0.013391122192866964,0.14071222038218226,9.647896667495845,0.69289739551283,0.3758838544396519,7.971636857141802,-0.5443136920251299,0.1545621306109119
175.35,0.8968633572022472,144.34863471606243,10.370610886426089,0.049837373518025196,0.15864873146242087,9.523525708253704,0.6398269792918004,0.3762346872020957,8.066143135532364,-0.5491061668135858,0.16610888144612976
175.4,0.8973603129353497,144.39589823470502,10.423143575419253,0.07841260116881972,0.18182838916642152,9.390315895024097,0.5879087390162111,0.36912870301221196,8.16606939591298,-0.5504784985841872,0.17001461848448932
175.45,0.8982139641901005,144.44317111318213,10.468376694987573,0.10291950754692027,0.20798183017365732,9.254039527215875,0.5443338580409276,0.35745555593077205,8.269890870196143,-0.5468648611203906,0.16593405740499712
175.5,0.8994203523355713,144.49043979176437,10.508878829620466,0.12632393384829393,0.23332535184894077,9.120912810404114,0.5140236869541175,0.34470026601508025,8.374915705807263,-0.5384844858661176,0.15556929757090102
175.55,0.9009790651073271,144.53770745772258,10.545167019305136,0.14914450468750437,0.2528024712505052,8.995512075323173,0.497910309030841,0.3325608199858527,8.478305615831259,-0.5281517090420603,0.14275399047234272
175.6,0.9028933566757169,144.58499131567478,10.576080887698188,0.16978154155917985,0.2624388272009043,8.880045750819272,0.4931539186242624,0.3207204480589692,8.57862155605443,-0.5204319288908534,0.1330193740124622
175.65,0.9051708268116088,144.63231288996428,10.600761976348414,0.18624939141823113,0.262013747441678,8.774764698579316,0.4948661787131533,0.30786612997283963,8.676777512219218,-0.5197536126534334,0.13237941096014122
175.7,0.9078192992705715,144.67968757290393,10.619236986830519,0.19791776421357035,0.2549100634217209,8.679008081584747,0.49823449072000836,0.2930377669454236,8.775176084719002,-0.5286732861247829,0.14535480516875576
175.75,0.910837794286725,144.72711846273114,10.632000165526714,0.20640724178491818,0.24588291908979967,8.592346390233043,0.5000291426699305,0.27636470474812835,8.875585852448348,-0.547089761127094,0.17265106110146658
175.8,0.9142105102076054,144.77459619214625,10.63960886947373,0.21537173115729705,0.23902862239814263,8.51490499064889,0.49899929491893014,0.25872800987020655,8.97777750508086,-0.5725109837759319,0.2110146661295259
175.85,0.9179034843487179,144.8221043359706,10.64244917932174,0.22929095694490106,0.23670895969328012,8.446464200654754,0.4951284386248693,0.24111499086275465,9.07843664839085,-0.6012778288046416,0.2534643295069076
175.9,0.9218640627399309,144.869627263375,10.640812172320137,0.2518832656061787,0.23927248956560962,8.38582464322219,0.48846089488383576,0.22418219699684577,9.170951109044333,-0.6300274875232762,0.289482490880136
175.95,0.9260327495591358,144.91715519535296,10.635536003467019,0.2851063186573321,0.24545757215278988,8.331224401156119,0.47845294799270316,0.20816593370503217,9.248548544911372,-0.6562605417841362,0.30992334817020034
176.0,0.9303601388102497,144.96468554077475,10.628783712109222,0.32898860979630234,0.2532280024218951,8.280731415149816,0.46387353268828047,0.19363491263023158,9.307828273231058,-0.6782542018713873,0.31250505974520276
176.05,0.9348110682146353,145.0122226875608,10.623582651646005,0.3816859634853138,0.2604948081103739,8.232168800500625,0.4429269589312229,0.1817310776948828,9.349665053729828,-0.6949622845945472,0.30164799235328466
176.1,0.93936008161852,145.05977624484413,10.622536761273441,0.43971393134143416,0.26606087656251975,8.182842939822997,0.4136301208272437,0.1732780196971199,9.377767549225629,-0.7059592462282273,0.28532797988143976
176.15,0.9439850087451106,145.1073576586939,10.6272155012543,0.498614106226788,0.2705094559753242,8.129372168656058,0.3744097044404928,0.16823022761648457,9.395909815711356,-0.711399903281222,0.27123180625245075
176.2,0.9486560726983936,145.1549757047454,10.638194405775248,0.5539859458759926,0.2757657240752687,8.068057357169327,0.3248707210382776,0.1654083945536368,9.406451330072473,-0.7116320523318662,0.2636382800160349
176.25,0.9533273515054236,145.20263195824091,10.655038170791368,0.6025606995704214,0.28342176533479135,7.995740779687744,0.2665220781947415,0.16264972617569892,9.411343642600201,-0.7064162559635067,0.2633786399327747
176.3,0.9579364866470337,145.25031889051346,10.67609066116954,0.6427829226542129,0.2933917321162436,7.9107691767202235,0.20295494452503685,0.15828609700285076,9.413894302323882,-0.6944050029950374,0.2691810027003557
176.35,0.9624091397189873,145.29802298008346,10.698527048436281,0.6745608229823904,0.30366493618019413,7.81358246101155,0.1390980094079457,0.15264368244545787,9.418537260830345,-0.6736708609770053,0.27774436799494456
176.4,0.9666679693602821,145.34573090441614,10.71912996571816,0.6985192926154238,0.31153449176030645,7.706936471779322,0.07991480644709185,0.14790274903496367,9.42929483361851,-0.6429621798102609,0.28466465466850865
176.45,0.9706439711827006,145.39343508367602,10.735257071334589,0.7152441466452781,0.31565404285255505,7.59579825415398,0.029156366450584646,0.14761706331010702,9.44900849561426,-0.6027414200859819,0.28644710899134435
176.5,0.9742803545248283,145.44113696641386,10.74532471456308,0.7248153191091519,0.31648065494814775,7.48591245006456,-0.011547559450256028,0.15523286804640085,9.479305633145355,-0.5556325577883667,0.28185401772122926
176.55,0.9775279663855334,145.4888466049212,10.748925901467492,0.7269107728111168,0.3153197497223283,7.381656318009965,-0.04290380471959407,0.1712730252829996,9.520779326736644,-0.5060913669472809,0.27240560012409004
176.6,0.9803406695336673,145.53657764005797,10.746792396849685,0.7215280495990721,0.3138476074437199,7.286561437737733,-0.06709947241788869,0.1928993652216775,9.573147040085267,-0.4592489717751469,0.2617723473854844
176.65,0.9826729825477787,145.58434067179357,10.740530198171454,0.7098237244592724,0.31326831805105526,7.205744932535624,-0.08643809773297607,0.21645589054882666,9.63539527047075,-0.4194580591955114,0.2540512687063799
176.7,0.9844798730830056,145.63213954383303,10.732116803896567,0.6943977461695185,0.31293526851344194,7.145547602467344,-0.10261958785145914,0.2395639291055881,9.705085731517746,-0.3894434403537674,0.2513153087233236
176.75,0.9857204655331794,145.67997117416311,10.7233619234211,0.6789314479792649,0.31039753384827073,7.111100502875681,-0.11672635111934952,0.2607244206592823,9.777368582349915,-0.3701868305880557,0.252364556203378
176.8,0.9863680084387593,145.7278267365476,10.716040487820143,0.6676300579586883,0.30388483955418333,7.104639229393994,-0.12937808166960996,0.2780985588773628,9.845531697231104,-0.36097977219293387,0.2542907536679356
176.85,0.9864204987420335,145.77569456427622,10.71225481686591,0.6644460702409272,0.2951315651889788,7.124883411144575,-0.14108138061385747,0.28870436558982343,9.902798437784888,-0.35969612462368067,0.25460119120621466
176.9,0.9859042441390135,145.82356471359037,10.71364815400966,0.6719826672613229,0.288888786357579,7.168548618018639,-0.15265534291064214,0.28956025038237104,9.94424198012896,-0.363415245480755,0.25225727398839426
176.95,0.9848705626560961,145.87143291591718,10.720343995062683,0.6906434316948111,0.2896270995059931,7.232642783469634,-0.1655038113451338,0.2801885798416252,9.96843735952842,-0.3690288445974367,0.24824104942206623
177.0,0.9833813123763607,145.91930283130353,10.73012923550667,0.7183197997934413,0.2975539985279586,7.314031087849927,-0.18184200537188458,0.2621672444082886,9.978307181672875,-0.37368325809656106,0.24510569686602315
177.05,0.9814947929185227,145.96718504975715,10.738648886648404,0.7508379008276266,0.30770902892942376,7.407191991933284,-0.20454088756968908,0.23646945010372794,9.98003172102947,-0.3750224059540614,0.24542459200983457
177.1,0.9792714327952481,146.01509162664996,10.741599424892996,0.7833548308285387,0.31452922015783025,7.504575786916223,-0.23610303336698857,0.2045414053262342,9.980672087619176,-0.37101452309156935,0.2501438282296534
177.15,0.976783307286209,146.063030484224,10.73630235328124,0.8117313067925757,0.315913310575026,7.599479184629407,-0.2774640264910193,0.1707285501279523,9.985672542441009,-0.3598061511172031,0.2574649596273231
177.2,0.9741124063188431,146.11100292258314,10.721348073392937,0.8331650947027913,0.31299776505509197,7.688051754175821,-0.32743255985062686,0.14196709775914518,9.997633121443394,-0.33978522412471895,0.263575961975212
177.25,0.9713412012292866,146.15900379623673,10.695617822461445,0.8462537525266924,0.3079921441083151,7.769442753794172,-0.3828290389494216,0.1253874349258505,10.017122402544834,-0.3096524349356523,0.26516461086845405
177.3,0.9685403860991554,146.20702434331332,10.657822057672306,0.8506716671129539,0.3025766288281408,7.844821474805708,-0.4392301695856808,0.12463115498321159,10.044149874124225,-0.26872166796332475,0.26156165887919064
177.35,0.9657614968772014,146.25505673507482,10.606996125240318,0.8466134494578497,0.2980131809102145,7.916531211343692,-0.49207622978147664,0.13787173030286234,10.07828981331272,-0.21754529795244737,0.2545131788670342
177.4,0.9630391458575661,146.30309799266354,10.54307248988524,0.8342168014902863,0.2967286089693693,7.987772493617908,-0.5376903047656789,0.15910561695407915,10.117766035713272,-0.15839432910440954,0.2458593620943574
177.45,0.9603955113438132,146.35115141167574,10.466272195627639,0.8132305698135018,0.3022265183654229,8.062137688451669,-0.5738613158044492,0.1805998372307061,10.159676112920017,-0.09506690292733386,0.2358964022323519
177.5,0.9578423781552539,146.3992247611543,10.376411488682411,0.7832912174423469,0.31611388436324367,8.142609458805131,-0.5998680465906967,0.19480580519173663,10.201930254716427,-0.03197978283712468,0.22428931456520632
177.55,0.9553902533539145,146.44732637939632,10.272645397186105,0.7445641465203379,0.3354870950154207,8.230638283518903,-0.6160730683998651,0.1963524793085248,10.245249561977644,0.02698425756067086,0.21279658678995653
177.6,0.9530586244691995,146.4954618325863,10.153445422583438,0.6982124746361751,0.3531449450480435,8.326305715372557,-0.6233760081798144,0.18397255327019163,10.292484639341751,0.07915981358965318,0.2049783248506568
