time,x_t,phi_shaft,q_b0_m0,q_b0_m1,q_b0_m2
172.95,0.7877934252960864,142.29045048967933,8.085250662561066,-0.6287886227047129,0.18300885911481188
173.0,0.8038515664382537,142.3371608716778,8.126091507663187,-0.6513050175417192,0.1820189793269609
173.05,0.8205566511731538,142.38385358544286,8.163299755226753,-0.657090882750912,0.17905358278976027
173.1,0.8377816580124063,142.43052987273458,8.198548937575504,-0.647266524093405,0.17566582935317743
173.15,0.8554124350137905,142.47719665270083,8.234375790751049,-0.6249712405533236,0.1735015360009324
173.2,0.8733319988649124,142.5238638755121,8.273697717275619,-0.5947194410406241,0.17407036087028044
173.25,0.8914124468118323,142.5705424276652,8.318881844440252,-0.5617634876798977,0.1784392237819326
173.3,0.9095147395727072,142.61724261216403,8.370608307387688,-0.5315312517778611,0.1868065329326639
173.35,0.9274920655997915,142.66397285535746,8.427480916982498,-0.5090218485317767,0.19850217831761693
173.4,0.9451925570598626,142.71073881926765,8.48675750704692,-0.4981889321387903,0.2123285871671073
173.45,0.9624590042205845,142.75754260691465,8.5453672082985,-0.5014051918148953,0.2267717345737333
173.5,0.9791363232344384,142.8043826937862,8.6006380520032,-0.5191456995106908,0.24042871710082586
173.55,0.9950770487190319,142.8512541026897,8.650734141654318,-0.5498634441367429,0.2525386519012541
173.6,1.0101389131025884,142.89814856794658,8.694262291662245,-0.5901780424466903,0.2629276356273079
173.65,1.0241869474155405,142.94505554210434,8.72934031777439,-0.6354510270998969,0.2714939595716581
173.7,1.0370986300806593,142.99196368632926,8.753957744934752,-0.6804129546878305,0.2782242359276512
173.75,1.0487668297280581,143.03886222309907,8.767304610078941,-0.7197182648781861,0.28397566631549065
173.8,1.0590972793732063,143.08574196960478,8.770276169816537,-0.7485208199678378,0.2905350866352139
173.85,1.0680023890650205,143.13259615634732,8.766730112546007,-0.7627779136555939,0.29930975140399135
173.9,1.0753958296858837,143.17942114021906,8.764420353679665,-0.7594570133616427,0.3090029298501401
173.95,1.0811984777844332,143.2262170825499,8.772098838550901,-0.7372580243715148,0.3152834163056752
174.0,1.0853534230732127,143.27298824153428,8.79647891574465,-0.6972430841655477,0.31374618140769267
174.05,1.0878353091397173,143.3197426029908,8.841230963075882,-0.6428442107443705,0.3021713521693986
174.1,1.088649558608046,143.366490826222,8.906585762854156,-0.5794244672720171,0.2812296189188597
174.15,1.087828012828857,143.41324464831635,8.989726525013367,-0.5135007320710256,0.2553162355909933
174.2,1.0854254862956059,143.46001543271763,9.085974240858441,-0.45177807341718407,0.23191362549379546
174.25,1.081513951932686,143.5068132019288,9.189821718830816,-0.4002165118469174,0.2182457572612797
174.3,1.0761706260459023,143.55364570116413,9.294960861296659,-0.363319800511028,0.21722209394434966
174.35,1.06947268156841,143.60051762081304,9.394582978528657,-0.3436061630426747,0.22604935727042888
174.4,1.0615033422851556,143.647430205867,9.482767302851117,-0.3412183622713043,0.238463355153713
174.45,1.0523609569201773,143.69438120537427,9.555875976572922,-0.3538042069688443,0.2483582491695378
174.5,1.0421624679520545,143.74136510997144,9.613356166462307,-0.3767106597132876,0.2524139822113108
174.55,1.0310362233034813,143.7883736271594,9.657943435628649,-0.40345147415788846,0.2505048992603183
174.6,1.0191087212875063,143.8353963744552,9.695007510850706,-0.4264789159119159,0.2445306525553819
174.65,1.0064962057241862,143.8824222828522,9.73090992530486,-0.4383216201988538,0.23693054449914377
174.7,0.9933065878841384,143.92944206859937,9.771123726245971,-0.4328971664286019,0.22886335517637746
174.75,0.979645507961371,143.976450492684,9.819003536740762,-0.40657511834849575,0.2190991927018643
174.8,0.965619855730495,144.02344717120823,9.875795065428209,-0.3586688458504633,0.20536654250695072
174.85,0.9513407437731987,144.07043653642245,9.941442280619976,-0.29141597152241566,0.18670308969957536
174.9,0.9369288782079377,144.11742749848136,10.015231625863512,-0.20964665665663165,0.16489860936128584
174.95,0.92251604569365,144.16443233690714,10.095896915435247,-0.12017840120731728,0.1447732181473253
175.0,0.9082391947910454,144.2114650591235,10.180918489242847,-0.031008981625824977,0.13224844950864334
175.05,0.8942306730765914,144.25853955838147,10.265532769223162,0.049642163955844865,0.13110882657751033
175.1,0.8806108937288927,144.3056676037468,10.343339583621052,0.1145810076813779,0.14117572249285
175.15,0.8674894510207414,144.35285711553354,10.408944195252932,0.15892600450257355,0.15958672366314758
175.2,0.8549707976484004,144.4001111332317,10.46017206307036,0.18090762067402227,0.18329523066513081
175.25,0.8431564543519126,144.4474275563931,10.49803772074884,0.18202461849590046,0.2094175370063616
175.3,0.8321424743504299,144.49479946692114,10.524925187921838,0.1666243279473493,0.2343017786379729
175.35,0.8220170578277347,144.54221608512182,10.542415288025882,0.1410234089503435,0.2535666189666117
175.4,0.8128651517348852,144.5896644733328,10.551283676343996,0.11259032975343963,0.2640646835541423
175.45,0.804773834684833,144.63713154990444,10.552778896487295,0.0889005200436343,0.2659652093817851
175.5,0.7978288118683028,144.68460586149678,10.54894673976885,0.07685703803873142,0.26251904755436783
175.55,0.7921058518392433,144.73207891656054,10.542225361370658,0.08186304076437505,0.2581814101641054
175.6,0.7876606557316751,144.7795459095751,10.53477982267975,0.10713083915260715,0.2565948861583372
175.65,0.784513751348451,144.82700517322766,10.52797514352576,0.15336274675424635,0.25929960772617344
175.7,0.7826444446737931,144.8744576051642,10.52233359265192,0.21874384969191246,0.2654180075892379
175.75,0.7820050339845735,144.921907421384,10.518313157206602,0.29911792548637656,0.2725177272833251
175.8,0.7825387775181477,144.9693625677575,10.51732766579599,0.3885274578713056,0.27812725959257634
175.85,0.7841926692874593,145.01683415606294,10.521281912661527,0.47984892777031324,0.2806992490573023
175.9,0.7869208257637103,145.06433482298598,10.53132743344135,0.5655028036464876,0.280336184551643
175.95,0.7906775904883234,145.11187605153225,10.547498606176118,0.638441053133861,0.2791410853460158
176.0,0.7954105856537421,145.1594660421348,10.568952383931677,0.693108874852663,0.2801416781784045
176.05,0.8010605821089629,145.20710895848484,10.593955538797614,0.7260566017687021,0.2854068188918244
176.1,0.8075667408408822,145.25480510729625,10.619569898212905,0.736184067171002,0.29465790641696926
176.15,0.8148684687294231,145.3025509765034,10.641736383217474,0.72486040852343,0.30489903066234453
176.2,0.822908292632561,145.35033922077653,10.656401387634379,0.6959449580647582,0.3121319510076741
176.25,0.8316372493456659,145.39815916768376,10.660954005764692,0.6554659351169375,0.31436894558688133
176.3,0.8410112023999292,145.44599778679722,10.65501597442508,0.6109781352629027,0.31257498797538064
176.35,0.8509816641364992,145.4938411684234,10.640485361564878,0.5706740757211628,0.3095378620354171
176.4,0.8614962547674464,145.54167677225453,10.62099042101494,0.5422304592218133,0.3086663834887755
176.45,0.8725038181562197,145.58949599535208,10.600801275972518,0.5315856290266445,0.3120909974439584
176.5,0.8839462206951725,145.6372954169032,10.583674522259079,0.5420563351489235,0.3187087225524182
176.55,0.895748878812398,145.68507667373754,10.572210042070225,0.5739331756723218,0.32448915822456015
176.6,0.9078230380466608,145.73284577666544,10.568216987132406,0.6245905208638443,0.3256686334636073
176.65,0.9200774075938926,145.7806123000859,10.573247470907788,0.6889566836894008,0.3221779900109017
176.7,0.9324338923195571,145.8283890179003,10.587899636497614,0.759990551566782,0.31747248272543255
176.75,0.9448366109086767,145.87619160342385,10.610677162766459,0.8293133382335672,0.31533242022091446
176.8,0.9572457479976945,145.92403727845434,10.637036033568231,0.8881788194956441,0.31593615096797184
176.85,0.9696244423628347,145.9719420339719,10.65999726679709,0.9287779966686159,0.3153339888574539
176.9,0.9819375675798252,146.01991782510933,10.672977630718183,0.9456140626129748,0.3100250729973674
176.95,0.9941563800368458,146.06797085747246,10.671683642913766,0.9363835144213023,0.30027682766669506
177.0,1.0062546205916583,146.1161008799101,10.654140521188761,0.902196220024195,0.2893912938857453
177.05,1.018200431435519,146.16430154600687,10.619959441411487,0.8472485553579474,0.281216354344199
177.1,1.0299519734524292,146.21256168702902,10.569481900899097,0.7781179251496715,0.27787561394872934
177.15,1.0414563121841853,146.26086687141174,10.50372008369099,0.7028864559240956,0.279567440633181
177.2,1.05265290373824,146.30920131212397,10.424422627823077,0.6300468480891698,0.28636307005793005
177.25,1.0634783998819455,146.35755027850112,10.333472222429258,0.5672845242572786,0.29906412086666917
177.3,1.0738690551147936,146.40590262645776,10.232736127140745,0.5205116204809063,0.3177188178307689
177.35,1.0837623466758368,146.45425275867564,10.123601998766489,0.49311076836937684,0.3395868312267845
177.4,1.0930983889320731,146.50260134619052,10.006405637294236,0.48552976891925104,0.35886617068902316
177.45,1.101822432754766,146.55095475596173,9.88143326398301,0.4954944128467372,0.36921765720288435
177.5,1.1098853814723562,146.59932353638808,9.749863873740402,0.5185732595106611,0.36658898810824264
177.55,1.1172464221362552,146.64772076344929,9.613654302828428,0.5488084361473894,0.3509056083286312
177.6,1.1238784582857397,146.69616073343886,9.475144170119597,0.5794096941806467,0.32631029274129303
177.65,1.1297614072496251,146.7446572309354,9.336424183749443,0.6035848780853635,0.2987939303693621
177.7,1.1348639367283204,146.79322104171735,9.19946593865782,0.6155386301148783,0.2730830017930877
177.75,1.139135085522096,146.84185797599454,9.067429224560154,0.6114115165428429,0.25208182779896054
177.8,1.1425120279124144,146.8905684911173,8.945345316391757,0.5897562343807682,0.23807761145335612
177.85,1.1449236841297847,146.93934796122005,8.838935613215602,0.5515129602524322,0.232141811451011
177.9,1.1462935905582332,146.98818762114004,8.752956341597088,0.49961286389054455,0.23272976329166256
177.95,1.146553348971935,147.03707635981925,8.690093853565713,0.43830136200841974,0.2360626441555967
178.0,1.1456533804402917,147.08600217118433,8.649910639860554,0.37240039330721203,0.23715396062772331
178.05,1.1435692016006491,147.13495325560496,8.62772136982309,0.3065715673194209,0.23136255750021212
